"compound"	"CompScale"	"CompType"	"MeanS1"	"MeanS2"	"MeanS3"	"Synonyms"	"SynonymsS1"	"SynonymsS2"	"SynonymsS3"
"car park"	"PC"	"4.2"	"2.8"	"2.55"	"2.9"	"parking lot;parking lot;parking garage;vehicle lot"	"garage"		
"dream ticket"	"NC"	"1.32"	"1.7"	"1.8"	"1.9"	"perfect combination;golden ticket"		"ideal"	"opportunity;chance"
"case study"	"C"	"3.7"	"3.6"	"4.0"	"3.08"	"example;specific example;medical trial;analysis"	"history;documentation"		
"dutch courage"	"PC"	"1.0"	"0.8"	"0.8"	"0.7"	"alcohol;liquid courage;liquid courage"		"hitting the bottle"	
"cash cow"	"NC"	"1.56"	"0.8"	"0.2"	"0.55"	"gold mine;money maker;moneymaker;moneymaker;steady income"	"income"		
"fair play"	"PC"	"2.59"	"2.2"	"1.8"	"3.25"	"equal;honesty"	"justice"	"equality"	"fairness"
"fairy tale"	"PC"	"1.68"	"2.2"	"2.4"	"1.4"	"myth;fables;fictional stories"	"tall tale;fable"	"legend"	
"fall guy"	"PC"	"1.36"	"1.7"	"0.8"	"2.0"	"scapegoat;scapegoat;patsy;scape goat"			"patsies"
"chain reaction"	"PC"	"2.93"	"1.8"	"1.6"	"2.4"	"domino effect;domino effect;cause and effect;cause and effect;vicious circle"		"chemical reaction"	"series of events"
"field work"	"PC"	"2.1"	"2.2"	"3.0"	"2.5"	"hands on work;outside labor;r and d"			"experimentation"
"football season"	"C"	"4.04"	"3.8"	"4.3"	"4.5"	"sports season;fall;season;football months;soccer season"			"football year"
"fresh water"	"PC"	"4.2"	"4.5"	"4.0"	"4.5"	"clean water;clean water;desalinated water;water that is fresh;rainwater"			
"freudian slip"	"PC"	"2.35"	"2.6"	"2.91"	"2.8"	"slip of the tongue;slip of the tongue;faulty action;psychological slip;parapraxis"			"verbal mistake"
"critical review"	"C"	"4.06"	"4.0"	"3.8"	"4.2"	"critique;evaluation;intense feedback;analysis;criticism"	"assessment"		
"ghost town"	"PC"	"1.5"	"1.3"	"0.9"	"1.4"	"abandoned town;abandoned town;deserted town;empty town;abandoned;deserted village"			"abandoned settlement"
"cheat sheet"	"PC"	"2.89"	"3.0"	"3.1"	"3.0"	"crib sheet;crib sheet;notes;hint guide"	"crib notes"		
"glass ceiling"	"NC"	"0.81"	"2.0"	"0.3"	"0.4"	"intangible barrier;social prejudice"			
"dead end"	"NC"	"1.32"	"1.0"	"1.2"	"1.8"	"cul de sac;impasse;impasse;blind alley;impassible route"		"end of the road"	
"grass root"	"NC"	"0.86"	"0.2"	"0.3"	"0.0"	"crucial;working class"	"basic"	"common people"	"baseline"
"dirty money"	"PC"	"2.21"	"1.4"	"2.1"	"2.9"	"illegal money;illegal money;drug money;drug money;blood money;black money"			
"china clay"	"PC"	"3.85"	"2.55"	"2.6"	"3.3"	"kaolin;kaolin;potter's earth;porcelain;sweet"	"pottery"		
"dirty word"	"PC"	"2.48"	"2.7"	"2.3"	"1.0"	"curse word;curse word;profanity;expletive;curse;offensive word"			
"hard drive"	"PC"	"2.17"	"1.0"	"1.45"	"1.1"	"hard disk drive;tape drive;tape drive;disk drive;memory unit;storage;hard disc;storage device"		"hard disk"	
"climate change"	"C"	"4.97"	"5.0"	"5.0"	"4.36"	"global warming;global warming;weather change;extreme weather"			
"disc jockey"	"PC"	"1.25"	"1.2"	"2.5"	"1.7"	"dj;dj"	"radio announcer;record player"	"broadcaster;deejay"	"announcer"
"academy award"	"PC"	"3.52"	"3.6"	"4.3"	"3.46"	"oscar;oscar;honor;sweet"			"oscar award"
"hard shoulder"	"NC"	"1.52"	"0.7"	"0.73"	"1.0"	"roadside;breakdown lane;side of the road;emergency stopping lane;curb;sweet"	"emergency lane"		
"cloud nine"	"NC"	"0.33"	"0.4"	"0.1"	"0.18"	"bliss;bliss;heaven;heaven;in heaven;top of the world;euphoria"	"happy"		"happiness"
"head hunter"	"NC"	"1.5"	"1.27"	"1.1"	"1.4"	"recruiter;recruiter;talent agent;executive recruiter;job recruiter"			
"divine service"	"C"	"3.11"	"3.9"	"2.9"	"3.9"	"church;mass;ritual;church service;religious ceremonies;sweet"	"worship"		
"arcade game"	"PC"	"3.8"	"4.1"	"4.6"	"3.3"	"video game;video game;arcade cabinet;coin operated game"			
"baby blues"	"PC"	"2.88"	"2.45"	"1.73"	"2.7"	"postpartum depression;postpartum depression;depression;depression;eyes"			
"cocktail dress"	"PC"	"3.04"	"2.36"	"1.7"	"1.5"	"party dress;party dress;evening dress;gown"	"evening gown"		
"health care"	"C"	"4.47"	"4.3"	"4.3"	"4.36"	"medical;medical;medical care;medical care;medical management;wellness coverage"		"wellness"	
"law firm"	"C"	"4.4"	"4.8"	"3.7"	"3.6"	"law office;attorney's office;attorney's office;legal practice;sweet"			"legal firm;law company"
"dry land"	"PC"	"3.95"	"4.73"	"4.6"	"4.3"	"ground;shore;solid ground;arid ground;arid ground;land that is dry"	"clay"		"dirt"
"heavy cross"	"NC"	"1.17"	"0.5"	"0.5"	"0.5"	"burden;burden;heavy burden"		"difficult burden"	"large burden"
"backroom boy"	"NC"	"1.48"	"0.5"	"0.5"	"1.64"	"behind the scenes;behind the scenes;anonymous adviser;sweet"	"consultant"	"expert"	"advisor"
"dry wall"	"PC"	"3.33"	"3.6"	"3.55"	"3.1"	"plasterboard;plasterboard;sheetrock;sheetrock;sheet rock;sweet"		"wallboard"	
"couch potato"	"NC"	"1.41"	"0.6"	"0.1"	"1.2"	"lazy;lazy;lazy person;lazy person;inactive person;inactive person;sedentary individual"			"lazy people"
"hen party"	"PC"	"1.05"	"1.23"	"0.9"	"1.2"	"bachelorette party;bachelorette party;hen night;hen night;bridal shower"	"girls night out"		
"crash course"	"NC"	"2.14"	"1.6"	"1.0"	"0.7"	"seminar;quick lesson;quick course;revision;training;quick class"			
"lip service"	"NC"	"1.62"	"1.08"	"1.2"	"0.8"	"hollow words;empty talk;homage;hot air;mockery"		"hypocrisy"	
"bad apple"	"PC"	"1.13"	"1.0"	"0.4"	"0.8"	"bad person;troublemaker;troublemaker;bad people;bad example;bad egg"			"rotten eggs"
"credit card"	"C"	"4.67"	"4.9"	"4.2"	"4.7"	"charge card;bank card;bank card;debit card"			
"home run"	"PC"	"2.86"	"1.6"	"2.2"	"3.4"	"homer;direct hit;baseball score;hole in one;grand slam;win"			
"banana republic"	"NC"	"0.86"	"0.8"	"0.6"	"0.6"	"politically unstable;politically unstable;small nation;third world country;land"			"dictatorship"
"crocodile tear"	"NC"	"1.25"	"0.8"	"0.5"	"0.7"	"fake tears;fake tears;false weeping;fake;insincerity"			
