"compound"	"CompScale"	"CompType"	"MeanS1"	"MeanS2"	"MeanS3"	"Synonyms"	"SynonymsS1"	"SynonymsS2"	"SynonymsS3"
"bebida alcoólica"	"C"	5	"5.0"	"4.92"	"5.0"	"bebidas com álcool;álcool;bebida com álcool;bebidas fermentadas;bebidas destiladas;bebidas que contém álcool;bebida;birita;trago"			
"disco voador"	"NC"	"2.9412"	"2.71"	"2.93"	"3.0"	"ovni;nave espacial;objeto voador não identificado;nave;ovnis"		"nave extraterrestre;óvni;objeto voador"	
"roleta russa"	"NC"	"0.2917"	"1.27"	"0.88"	"0.82"	"jogo de azar;aleatoriedade;operação suicida;jogo perigoso"	"sorteio;perigoso"		"mudança brusca;mudança rápida"
"alarme falso"	"NC"	"3.24"	"3.08"	"2.56"	"2.46"	"engano;confusão;erro;ilusão;equívoco;falso alarde"	"equivoco"		
"coração partido"	"PC"	"1.0588"	"1.56"	"1.46"	"1.73"	"triste;coração quebrado;magoado;decepcionado;desilusão;decepção amorosa;desiludido;decepção;tristeza;desolado;coração machucado"	"intensa dor psicológica;dor"		
"poção mágica"	"C"	"3.2857"	"2.29"	"3.0"	"3.5"	"magia;bebida mágica;elixir mágico;feitiço"		"bebida milagrosa"	"líquido mágico"
"regime político"	"C"	4	"3.7"	"3.64"	"3.62"	"sistema político;governo;política"			
"alta temporada"	"C"	"1.5172"	"2.12"	"2.0"	"2.0"	"férias;alta demanda;período de férias;temporada de férias;verão"			"feriados"
"comida caseira"	"C"	"4.1053"	"4.0"	"4.5"	"4.33"	"comida feita em casa;comida de mãe;comida simples;feita em casa;comida tradicional;comida fresca"		"comida de conforto"	
"jogo duro"	"NC"	"1.125"	"1.15"	"1.22"	"1.0"	"jogo difícil;rígido;sem flexibilidade;difícil"	"insistente;teimoso"	"resistência"	"dificultou;jogo complicado"
"sangue frio"	"NC"	"0.52"	"0.67"	"1.09"	"1.33"	"frieza;crueldade;tranquilidade;calculista;cruel;sem piedade;insensibilidade;sem emoção;sem coração"			"serenidade"
"ar condicionado"	"PC"	"2.4444"	"3.75"	"2.64"	"2.91"	"ar refrigerado;condicionador de ar;climatizador;climatizador de ar"		"ar climatizado;ar frio"	
"ar livre"	"NC"	"1.9459"	"1.25"	"2.89"	"1.71"	"céu aberto;ambiente aberto;espaço aberto;a céu aberto"	"sem cobertura;arejado"		"fora de casa"
"carta aberta"	"PC"	"3.6364"	"2.7"	"3.14"	"3.22"	"carta pública;comunicado"			"comunicado público"
"longa data"	"NC"	"1.6286"	"2.67"	"2.38"	"2.1"	"muito tempo;há muito tempo;de muito tempo;antigo"	"a muito tempo"	"antiga;duradoura"	"muito tempo atrás"
"pé-direito"	"NC"	"0.2258"	"0.14"	"0.22"	"0.56"	"teto;distância do chão ao teto;altura da parede"	"altura entre o piso e o teto"		"pilar"
"prato feito"	"PC"	"3.1429"	"3.17"	"3.23"	"3.09"	"prato pronto;refeição;almoço comercial;prato comercial;pf;marmita"	"prato"	"prato montado"	
"tiro livre"	"C"	"1.5769"	"1.2"	"1.33"	"1.29"	"falta sem barreira"	"chute"		
"amigo secreto"	"PC"	"3.1071"	"3.33"	"3.11"	"2.5"	"amigo oculto"			
"classe executiva"	"PC"	"2.6667"	"1.86"	"1.57"	"2.33"	"classe de negócios"			
"coluna social"	"PC"	"2.4545"	"2.14"	"1.67"	"2.27"		"fofoca"		"jornal;revistas"
"estrela cadente"	"C"	"2.52"	"2.91"	"2.75"	"2.82"	"meteoro;estrela que cai;meteorito;meteoro cadente"	"asteróide"		
"pé-frio"	"NC"	"0.0857"	"0.33"	"0.3"	"0.8"	"azarado;sem sorte;azar;má sorte;falta de sorte"			
"planta baixa"	"PC"	"0.7419"	"1.86"	"0.67"	"0.8"	"planta de uma construção;diagrama;desenho de uma construção"		"planta"	"desenho de construção;projeto"
"navio negreiro"	"C"	"3.5172"	"3.6"	"3.5"	"3.0"	"transporte de escravos"		"navio tumbeiro"	
"papel higiênico"	"C"	"4.2667"	"4.6"	"4.4"	"4.27"	"papel de banheiro;papel usado no banheiro;rolo de papel"		"papel fino e absorvente;papel usado para higiene"	"papel sanitário"
"pau-mandado"	"NC"	"0.2963"	"0.83"	"1.07"	"0.56"	"submisso;obediente;capacho;joguete"		"subordinado"	
"segundas intenções"	"NC"	"2.1111"	"2.6"	"2.55"	"2.56"	"interesse escondido;intenções escondidas;intenções ocultas;outras intenções;más intenções;intenções maliciosas;intenções secundárias"	"intenções implícitas"		"interesse oculto"
"tartaruga-marinha"	"C"	5	"5.0"	"4.75"	"3.67"	"tartaruga do mar;chelonioidea;tartaruga que vive no mar"	"animal aquático"	"tartaruga aquática;tartaruga"	
"vinho tinto"	"C"	"4.0833"	"4.0"	"4.25"	"4.33"	"vinho escuro;vinho;vinho de cor avermelhada;vinho roxo;vinho seco;vinho de mesa"			
"acampamento militar"	"C"	"4.8182"	"4.6"	"3.89"	"4.38"	"acampamento do exército;acampamento para militares"			
"agente secreto"	"C"	"4.5806"	"4.71"	"4.56"	"4.36"	"espião;agente especial;investigador;informante;agente duplo"			
"água doce"	"PC"	"1.4516"	"1.91"	"2.7"	"2.17"	"água de rio;rio;água potável;água de rios e lagos;água de rios;água sem sal"			"água que não é salgada"
"ano-novo"	"PC"	"4.2857"	"4.08"	"4.5"	"4.08"	"réveillon;novo ano;virada de ano;reveillon;ano entrante;passagem de ano"	"início de ano"		
"arma branca"	"PC"	"0.6522"	"1.33"	"1.78"	"0.89"	"faca;facas;armas de corte;objetos cortantes;armas legalizadas"			
"batata-doce"	"C"	"4.2414"	"4.25"	"4.12"	"3.89"	"batata roxa;batata-da-terra;batata-da-ilha;batata da terra;batata rosa;jatica"	"batata;batata da ilha"		
"café colonial"	"C"	"2.697"	"3.0"	"2.6"	"2.0"	"café da manhã"			
"caixa-preta"	"PC"	"0.9375"	"0.88"	"0.8"	"0.38"	"segredo"			
"carne branca"	"PC"	"2.8462"	"3.67"	"3.4"	"3.55"	"carne de frango;carne de peixe;frango;peixe;carne magra"			
