"compound","sentence1","sentence2","sentence3"
"academy award","lardner shared an academy award for best original screenplay with michael kanin in 1942 for woman of the year","academy award winner whoopi goldberg ( ghost ) stars as a sassy lounge singer forced to hide in a quiet convent .","sent3: ('""http://www.mshepley.btinternet.co.uk/w50.htm""', 140)"
"acid test","on the fate of the acle straight within weeks . this is seen as an acid test of the government ' s commitment to protecting our most valuable environments ( 3 ) .","such markers ' whilst being ungodly even , unconverted underneath . the acid test of how i am spiritually is not those externals but the character - change worked by jesus",". they suggest a and having absorbed alcohol is concerned . wall street is kool - aid acid test life as an in the midst . with ethical problems institute author sells big new"
"agony aunt","feel as if this baby is more important than they are . "" counsellor and agony aunt suzie hayman , author of the relate guide to second families ( vermilion ) ,","the bottom fell out of the knob business . bob ' s probs - bob ' s agony aunt phone line went out of business because bob kept laughing at peoples problems . your","challenging test . i think it must sound as if it were written to an agony aunt asking for help . ps . i have the same problems writing in my own"
"ancient history","sent1: ('""http://forums.kustompcs.co.uk/archive/index.php/t-12953.html""', 127)","the days of triple - digit growth now seem like ancient history .","so be brave , be ready to change your views or be ancient history ."
"application form","in a christian preaching ministry in any denomination for at least two years . the application form for the mth course is available on the spurgeon ' s or as a download (","to apply click on the apply now ' link and fill in our online application form . we look forward to hearing from you . using ict in foundation stage teaching","capture / forms processing software . forms processing can enable documents such as surveys , application forms , invoices and questionnaires to be scanned and automatically processed to a database . the"
"arcade game","the monkey in the game is king kong and it is another version of the classic arcade game donkey kong .","sent2: ('""http://www.sincuser.f9.co.uk/027/arcade.htm""', 72)","pac - man - play the most popular arcade game of all time !"
"armchair critic","sent1: ('""http://www.charter88.org.uk/publications/violations/puddev3.html""', 6)","he will be quoted as an example of ' all that is wrong with the game ' by every armchair critic in wales .","i caught the train to get back home to be an armchair critic of england ' s football team performance against jamaica ."
"baby blues","while as many as 80 % of mothers experience a temporary and mild condition referred to as the baby blues , up to 15 % of women have the more severe reaction you ' re experiencing .","sent2: ('""http://www.babyworld.co.uk/information/newparents/body_after_baby.asp""', 63)","sent3: ('""http://www.netribution.co.uk/news/northern_exposure/82/4.html""', 2)"
"baby buggy","can i take my baby buggy on to the london eye ?","sent2: ('""http://www.visitfrance.co.uk/accommodation.cfm?i=5607""', 7)","a british company has launched the world ' s first baby buggy with a pollution proof passenger capsule ."
"backroom boy","there are lots of technical and scientific staff whom you never see who are deeply involved in your disease : they often get forgotten as ' backroom boys and girls '","sent2: ('""http://www.rfsoc.org.uk/cds_2005.shtml""', 420)","sent3: ('""http://blogs.guardian.co.uk/culturevulture/archives/2006/05/07-week/""', 148)"
